ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um),Index,Cell area (um^2)
21,113228.383,29,128717.808,39,122684.252,47,2302.460,1,11911.765
22,13245.314,30,2985.941,40,18836.100,48,1922.208,2,17586.333
23,3110.452,31,11445.139,41,5225.979,49,2138.946,3,30665.245
24,3251.255,32,125.675,42,9319.139,,,4,29545.226
25,508.518,33,5807.807,43,3243.109,,,5,24702.671
26,925.688,34,736.012,44,443.353,,,6,16778.174
27,1578.499,35,668.520,45,516.663,,,7,17228.509
28,477.099,36,6671.240,46,2464.623,,,8,18160.597
,,37,828.523,,,,,9,7569.582
,,38,619.647,,,,,10,15410.878
,,,,,,,,11,8722.765
,,,,,,,,12,10901.129
,,,,,,,,13,10831.310
,,,,,,,,14,15634.882
,,,,,,,,15,6663.094
,,,,,,,,16,15458.588
,,,,,,,,17,9447.141
,,,,,,,,18,7178.012
,,,,,,,,19,21516.581
,,,,,,,,20,20586.820
