Major lineage,Taxon,Pathway,True label,Predicted label
Bromeliaceae,Tillandsia complanata,C3+CAM,mCAM,nonCAM
Bromeliaceae,Werauhia sanguinolenta,C3+CAM,mCAM,nonCAM
Cactaceae,Pereskia marcanoi,C3+CAM,mCAM,nonCAM
Cactaceae,Pereskia weberiana,C3+CAM,mCAM,nonCAM
Crassulaceae,Sedum album,C3+CAM,mCAM,nonCAM
Didiereaceae,Ceraria namaquensis,C3+CAM,mCAM,nonCAM
Gesneriaceae,Codonanthe uleana,C3+CAM,mCAM,nonCAM
Orchidaceae,Lockhartia micrantha,C3+CAM,mCAM,nonCAM
Orchidaceae,Oncidium dichromaticum,C3+CAM,mCAM,nonCAM
Clusiaceae,Clusia flaviflora,C3+CAM,mCAM,pCAM
Clusiaceae,Clusia formosa,C3+CAM,mCAM,pCAM
Crassulaceae,Sedum acre,C3+CAM,mCAM,pCAM
Montiaceae,Cistanthe picta,C3+CAM,mCAM,pCAM
Montiaceae,Cistanthe salsoloides,C3+CAM,mCAM,pCAM
Orchidaceae,Echinosepala lappiformis,C3+CAM,mCAM,pCAM
Orchidaceae,Epidendrum rousseauae,C3+CAM,mCAM,pCAM
Portulacaceae,Portulaca bicolor,C4+CAM,mCAM,pCAM
Acanthaceae,Blepharis ciliaris,C4,non-CAM,mCAM
Asteraceae,Noticastrum marginatum,C3,non-CAM,mCAM
Bromeliaceae,Racinaea aeris-incola,C3,non-CAM,mCAM
Bromeliaceae,Vriesea fenestralis,C3,non-CAM,mCAM
Caryophyllaceae,Arenaria lychnidea,C3,non-CAM,mCAM
Cyperaceae,Carex rostrata,C3,non-CAM,mCAM
Ericaceae,Macleania rupestris,C3,non-CAM,mCAM
Fabaceae,Ulex europaeus,C3,non-CAM,mCAM
Molluginaceae,Hypertelis salsoloides,C3,non-CAM,mCAM
Molluginaceae,Mollugo verticillata,C3-C4,non-CAM,mCAM
Montiaceae,Claytonia megarhiza,C3,non-CAM,mCAM
Montiaceae,Montia parvifolia,C3,non-CAM,mCAM
Montiaceae,Montiopsis andicola,C3,non-CAM,mCAM
Moraceae,Antiaris africana,C3,non-CAM,mCAM
Orchidaceae,Arundina graminifolia,C3,non-CAM,mCAM
Orchidaceae,Calanthe sp. 1,C3,non-CAM,mCAM
Orchidaceae,Ceratostylis sp. 13,C3,non-CAM,mCAM
Orchidaceae,Draconia tuerckheimii,C3,non-CAM,mCAM
Orchidaceae,Masdevallia zahlbruckneri,C3,non-CAM,mCAM
Orchidaceae,Maxillaria tenuifolia,C3,non-CAM,mCAM
Orchidaceae,Oncidium parviflorum,C3,non-CAM,mCAM
Orchidaceae,Orchis mascula,C3,non-CAM,mCAM
Orchidaceae,Sobralia chrysostoma,C3,non-CAM,mCAM
Orchidaceae,Warczewiczella lipscombiae,C3,non-CAM,mCAM
Orchidaceae,Zygopetalum intermedii,C3,non-CAM,mCAM
Plantaginaceae,Plantago australis,C3,non-CAM,mCAM
Plantaginaceae,Veronica arvensis,C3,non-CAM,mCAM
Poaceae,Brachypodium retusum,C3,non-CAM,mCAM
Polygonaceae,Polygonum persicaria,C3,non-CAM,mCAM
Polypodiaceae,Lepisorus validinervis,C3,non-CAM,mCAM
Polypodiaceae,Selliguea plantaginea,C3,non-CAM,mCAM
Primulaceae,Hottonia palustris,C3,non-CAM,mCAM
Rosaceae,Prunus laurocerasus,C3,non-CAM,mCAM
Rubiaceae,Morinda jasminoides,C3,non-CAM,mCAM
Saxifragaceae,Saxifraga hirsuta,C3,non-CAM,mCAM
Solanaceae,Nicotiana glauca,C3,non-CAM,mCAM
Theaceae,Camellia japonica,C3,non-CAM,mCAM
Theaceae,Gordonia axillaris,C3,non-CAM,mCAM
Thymelaeaceae,Daphne gnidium,C3,non-CAM,mCAM
Amaranthaceae,Suaeda vera,C3,non-CAM,pCAM
Asteraceae,Baccharis articulata,C3,non-CAM,pCAM
Bromeliaceae,Catopsis paniculata,C3,non-CAM,pCAM
Bromeliaceae,Guzmania claviformis,C3,non-CAM,pCAM
Bromeliaceae,Guzmania sanguinea,C3,non-CAM,pCAM
Fabaceae,Acacia havilandiorum,C3,non-CAM,pCAM
Fabaceae,Senna aphylla,C3,non-CAM,pCAM
Nolinoideae,Nolina matapensis,C3,non-CAM,pCAM
Orchidaceae,Ceratostylis sp. 3,C3,non-CAM,pCAM
Orchidaceae,Pleurothallis crocodiliceps,C3,non-CAM,pCAM
Orchidaceae,Pleurothallis sp.,C3,non-CAM,pCAM
Orchidaceae,Specklinia fulgens,C3,non-CAM,pCAM
Polypodiaceae,Lepisorus spicatus,C3,non-CAM,pCAM
Santalaceae,Exocarpos aphyllus,C3,non-CAM,pCAM
Viburnaceae,Sambucus nigra,C3,non-CAM,pCAM
Agavoideae,Agave cerulata,CAM,pCAM,mCAM
Bromeliaceae,Aechmea capixabae,CAM,pCAM,mCAM
Bromeliaceae,Lymania globosa,CAM,pCAM,mCAM
Orchidaceae,Dendrobium lineale,CAM,pCAM,mCAM
Orchidaceae,Epidendrum difforme,CAM,pCAM,mCAM
Orchidaceae,Vanilla fragrans,CAM,pCAM,mCAM
Orchidaceae,Vanilla inodora,CAM,pCAM,mCAM
Apocynaceae,Dischidia chinensis,CAM,pCAM,nonCAM
Crassulaceae,Crassula deceptor,CAM,pCAM,nonCAM
Orchidaceae,Encyclia stellata,CAM,pCAM,nonCAM
Orchidaceae,Notylia pentachne,CAM,pCAM,nonCAM
